# 2012 survey cross-section at gage Montalban (Marikina basin, Philippines)
# Roughness: Assumed global value for entire cross-section (not specified in this file)
offset	z
0	31.869
1	31.702
2	31.661
3	31.333
4	31.264
5	31.352
6	31.345
7	31.29
8	31.3
9	31.267
10	31.207
11	31.223
12	31.175
13	31.176
14	31.146
15	31.167
16	31.198
17	30.939
18	30.934
19	30.878
20	30.797
21	30.888
22	30.844
23	30.828
24	30.838
25	30.826
26	30.79
27	30.804
28	30.793
29	30.81
30	30.7
31	30.751
32	30.691
33	30.628
34	30.588
35	30.573
36	30.537
37	30.494
38	29.234
39	29.258
40	29.071
41	28.329
42	28.284
43	28.213
44	28.107
45	28.126
46	28.002
47	27.973
48	27.904
49	27.921
50	27.837
51	27.749
52	27.791
53	27.761
54	27.179
55	26.841
56	26.383
57	26.334
58	26.63
59	26.585
60	26.571
61	26.537
62	26.49
63	26.316
64	26.152
65	25.991
66	25.737
67	25.672
68	25.393
69	25.247
70	25.205
71	25.14
72	25.12
73	24.62
74	24.173
75	22.64
76	22.55
77	22.45
78	22.45
79	22.37
80	22.34
81	22.31
82	22.26
83	22.23
84	22.24
85	22.2
86	22.22
87	22.16
88	22.17
89	22.1
90	22.07
91	21.96
92	21.91
94	22.35
96	22.15
100	22.15
102	22.05
104	21.95
106	21.95
108	21.85
110	21.8
113	21.75
115	21.65
117	21.45
119	21.15
121	20.85
125	20.25
129	20.75
133	21.05
137	20.35
141	19.65
145	19.15
149	21.35
151	21.65
152	21.75
153	22.25
154	26.239
155	26.26
156	26.224
157	26.237
158	26.281
159	26.278
160	26.45
161	26.326
162	26.342
163	26.321
164	26.327
165	26.299
166	26.191
167	26.214
168	26.23
169	26.336
170	26.342
171	26.318
172	26.361
173	26.315
174	26.31
175	26.258
176	26.247
177	26.261
178	26.269
179	26.275
180	26.274
181	26.277
182	26.25
183	26.291
184	26.324
185	26.291
186	26.349
187	26.389
188	26.272
189	26.339
190	26.285
191	26.531
192	26.545
193	26.534
194	26.52
195	26.507
196	26.519
197	26.537
198	26.536
199	26.561
200	26.546
205	32
