# 2012 survey cross-section at gage Montalban (Marikina basin, Philippines)		
# Roughness: Assumed n=1/30 for channel and 1/20 for flood plain		
offset	z	Kst
0	31.869	20
1	31.702	20
2	31.661	20
3	31.333	20
4	31.264	20
5	31.352	20
6	31.345	20
7	31.29	20
8	31.3	20
9	31.267	20
10	31.207	20
11	31.223	20
12	31.175	20
13	31.176	20
14	31.146	20
15	31.167	20
16	31.198	20
17	30.939	20
18	30.934	20
19	30.878	20
20	30.797	20
21	30.888	20
22	30.844	20
23	30.828	20
24	30.838	20
25	30.826	20
26	30.79	20
27	30.804	20
28	30.793	20
29	30.81	20
30	30.7	20
31	30.751	20
32	30.691	20
33	30.628	20
34	30.588	20
35	30.573	20
36	30.537	20
37	30.494	20
38	29.234	20
39	29.258	20
40	29.071	20
41	28.329	20
42	28.284	20
43	28.213	20
44	28.107	20
45	28.126	20
46	28.002	20
47	27.973	20
48	27.904	20
49	27.921	20
50	27.837	20
51	27.749	20
52	27.791	20
53	27.761	20
54	27.179	20
55	26.841	20
56	26.383	20
57	26.334	20
58	26.63	20
59	26.585	20
60	26.571	20
61	26.537	20
62	26.49	20
63	26.316	20
64	26.152	20
65	25.991	30
66	25.737	30
67	25.672	30
68	25.393	30
69	25.247	30
70	25.205	30
71	25.14	30
72	25.12	30
73	24.62	30
74	24.173	30
75	22.64	30
76	22.55	30
77	22.45	30
78	22.45	30
79	22.37	30
80	22.34	30
81	22.31	30
82	22.26	30
83	22.23	30
84	22.24	30
85	22.2	30
86	22.22	30
87	22.16	30
88	22.17	30
89	22.1	30
90	22.07	30
91	21.96	30
92	21.91	30
94	22.35	30
96	22.15	30
100	22.15	30
102	22.05	30
104	21.95	30
106	21.95	30
108	21.85	30
110	21.8	30
113	21.75	30
115	21.65	30
117	21.45	30
119	21.15	30
121	20.85	30
125	20.25	30
129	20.75	30
133	21.05	30
137	20.35	30
141	19.65	30
145	19.15	30
149	21.35	30
151	21.65	30
152	21.75	30
153	22.25	30
154	26.239	20
155	26.26	20
156	26.224	20
157	26.237	20
158	26.281	20
159	26.278	20
160	26.45	20
161	26.326	20
162	26.342	20
163	26.321	20
164	26.327	20
165	26.299	20
166	26.191	20
167	26.214	20
168	26.23	20
169	26.336	20
170	26.342	20
171	26.318	20
172	26.361	20
173	26.315	20
174	26.31	20
175	26.258	20
176	26.247	20
177	26.261	20
178	26.269	20
179	26.275	20
180	26.274	20
181	26.277	20
182	26.25	20
183	26.291	20
184	26.324	20
185	26.291	20
186	26.349	20
187	26.389	20
188	26.272	20
189	26.339	20
190	26.285	20
191	26.531	20
192	26.545	20
193	26.534	20
194	26.52	20
195	26.507	20
196	26.519	20
197	26.537	20
198	26.536	20
199	26.561	20
200	26.546	20
205	32	20

