# Cross-section property table
#   X-section data file:    in/montalban/geometry_constRough.txt
#   Flow data file:         in/montalban/flowsOfInterest.txt
#   Used reach length:      1000
#   Used slope:             0.000485
#   Used roughness: 30 (Global default)
flow	stage	overtop	wet_area	top_width	wet_perimeter	volume_total	dvdq_total	nsub	volume_sub	dvdq_sub
0.500	19.741	0	1.71	5.60	5.79	1707.222	2231.798	3	569.074	743.933
1.000	19.919	0	2.82	6.94	7.19	2823.122	2111.805	2	1411.561	1055.903
2.000	20.158	0	4.69	8.74	9.07	4694.941	1915.696	1	4694.941	1915.696
5.000	20.637	0	10.84	18.02	18.57	10836.918	1932.398	1	10836.918	1932.398
10.000	21.019	0	19.54	27.94	28.67	19541.185	1553.422	1	19541.185	1553.422
20.000	21.410	0	31.33	32.13	32.98	31326.775	1175.252	1	31326.775	1175.252
30.000	21.745	0	43.05	38.84	39.73	43046.220	1310.842	1	43046.220	1310.842
50.000	22.330	0	74.82	72.40	73.55	74818.963	1302.619	1	74818.963	1302.619
75.000	22.641	0	98.45	78.10	79.51	98446.356	849.818	1	98446.356	849.818
100.000	22.882	0	117.31	78.32	80.04	117309.865	727.727	1	117309.865	727.727
200.000	23.671	0	179.36	79.03	81.80	179357.257	559.337	1	179357.257	559.337
250.000	24.005	0	205.80	79.33	82.54	205795.671	511.965	1	205795.671	511.965
300.000	24.316	0	230.55	79.84	83.41	230553.731	483.289	1	230553.731	483.289
400.000	24.887	0	276.51	81.20	85.34	276508.073	466.780	1	276508.073	466.780
500.000	25.456	0	323.91	86.03	90.70	323909.748	548.989	1	323909.748	548.989
750.000	27.079	0	508.01	146.19	152.09	508014.566	470.682	1	508014.566	470.682
800.000	27.222	0	528.89	146.69	152.68	528891.277	411.965	1	528891.277	411.965
900.000	27.494	0	568.97	147.41	153.59	568973.976	395.638	1	568973.976	395.638
1000.000	27.758	0	608.02	148.44	154.80	608018.806	390.448	1	608018.806	390.448
